"STATION","Name","PPT_sp_Station","PPT_sm_Station","PPT_at_Station","PPT_wt_Station","Tmax_sp_Station","Tmax_sm_Station","Tmax_at_Station","Tmax_wt_Station","Tmin_sp_Station","Tmin_sm_Station","Tmin_at_Station","Tmin_wt_Station","Tave_sp_Station","Tave_sm_Station","Tave_at_Station","Tave_wt_Station","MSP_Station","MAP_Station","MAT_Station","MWMT_Station","MCMT_Station","TD_Station","AHM_Station","SHM_Station","Tmax_wt_Model","Tmax_sp_Model","Tmax_sm_Model","Tmax_at_Model","Tmin_wt_Model","Tmin_sp_Model","Tmin_sm_Model","Tmin_at_Model","Tave_wt_Model","Tave_sp_Model","Tave_sm_Model","Tave_at_Model","PPT_wt_Model","PPT_sp_Model","PPT_sm_Model","PPT_at_Model","MAT_Model","MWMT_Model","MCMT_Model","TD_Model","MAP_Model","MSP_Model","AHM_Model","SHM_Model"
"08GA071","ELAHO RIVER",560,404,921,942,11.6333333333333,22.6333333333333,11.1666666666667,1.86666666666667,3.43333333333333,10.1,4.5,-1.33333333333333,7.53333333333333,16.3666666666667,7.83333333333333,0.266666666666667,687,2827,8,17.25,-0.45,17.7,6.36717368234878,25.1091703056769,2.8,12.3,23.5,12.9,-1.8,3,10.3,4.1,0.5,7.7,16.9,8.5,640,333,181,578,8.4,17.9,-0.7,18.6,1733,371,10.6,48.2
"08GF005","KIPPAN CREEK",NA,NA,NA,NA,12.6666666666667,20.6333333333333,11.8333333333333,4.36666666666667,3,10.7,5.23333333333333,-0.366666666666667,7.83333333333333,15.6666666666667,8.53333333333333,2,NA,NA,8.50833333333333,16.8,1.6,15.2,NA,NA,4.5,11.6,19.1,11.7,0.3,3.6,10.1,5.3,2.4,7.6,14.6,8.5,1120,643,408,1051,8.3,15.4,1.5,14,3222,799,5.7,19.3
"08GF006","MCALLISTER C",NA,NA,NA,NA,12.4,18.4,11.4,5.26666666666667,5.03333333333333,11.7666666666667,6.73333333333333,1.56666666666667,8.71666666666667,15.0833333333333,9.06666666666667,3.41666666666667,NA,NA,9.07083333333333,15.95,3.1,12.85,NA,NA,5.3,12.4,19.2,11.9,1.1,4.7,11.2,6.1,3.2,8.5,15.2,9,882,540,270,758,9,16,2.5,13.5,2450,528,7.7,30.3
"08HA069","RENFREW CREE",868,408,1074,1163,10.4333333333333,18.8666666666667,11.7,4.63333333333333,2.93333333333333,9.53333333333333,5.23333333333333,0.5,6.68333333333333,14.2,8.46666666666667,2.56666666666667,735,3513,7.97916666666667,15.15,2.25,12.9,5.11789543599962,20.6122448979592,5.1,11.5,19.9,12.5,0.1,3,9.4,5,2.6,7.3,14.7,8.8,1495,786,224,1129,8.3,15.6,2.2,13.4,3633,486,5,32.1
"08HA072","COTTONWOOD C",711,329,948,1375,11.1333333333333,21.2666666666667,12.2333333333333,4.23333333333333,2.8,9.5,4.7,0.1,6.96666666666667,15.3833333333333,8.46666666666667,2.16666666666667,620,3363,8.24583333333333,16.5,1.75,14.75,5.42546337595401,26.6129032258065,3.8,11.1,21.2,12.3,-0.6,2.8,9.7,4.8,1.6,7,15.5,8.6,1071,561,196,876,8.1,16.7,1.2,15.5,2704,420,6.7,39.7
"08HA700","WALBRAN CREE",659,356,1025,1180,12.8,21.5666666666667,14.5333333333333,7.23333333333333,3.33333333333333,9.23333333333333,4.76666666666667,0.9,8.06666666666667,15.4,9.65,4.06666666666667,683,3220,9.29583333333333,16.6,3.5,13.1,5.99249482401656,24.3045387994143,5.9,11.9,20.2,13.5,0.6,3.3,9.4,5.3,3.2,7.6,14.8,9.4,1286,712,298,1134,8.8,15.8,2.8,13,3430,600,5.5,26.3
"08HF012","PUGH CREEK N",722,397,1140,1257,11.6666666666667,18.3666666666667,13.4,6.83333333333333,3.46666666666667,10.1,5.4,1.1,7.56666666666667,14.2333333333333,9.4,3.96666666666667,746,3516,8.79166666666667,15.25,3.5,11.75,5.34461509290861,20.4423592493298,6.5,11.6,18.3,12.9,1.2,3.4,10,5.5,3.9,7.5,14.1,9.2,1291,796,401,1143,8.7,15,3.5,11.6,3630,765,5.1,19.7
"08HF013","SIMPSON CREE",720,440,1114,1223,12.6333333333333,19.1666666666667,13.0333333333333,7.1,3.66666666666667,9.5,5.53333333333333,1.6,8.15,14.3333333333333,9.28333333333333,4.35,803,3497,9.02916666666667,15.25,3.75,11.5,5.4415689638738,18.9912826899128,7.2,12.4,18.9,13.1,2.1,4.1,10.1,6.1,4.6,8.2,14.5,9.6,1076,651,306,998,9.2,15.4,4.2,11.2,3031,606,6.3,25.4
"101006","CHARTER",NA,NA,NA,NA,11.7333333333333,22.1666666666667,11.7666666666667,3.06666666666667,1.7,8.66666666666667,3.7,-2.03333333333333,6.71666666666667,15.4166666666667,7.73333333333333,0.516666666666667,NA,NA,7.59583333333333,16.4,-0.1,16.5,NA,NA,3.9,11.7,21.7,12.4,-0.8,2.9,9.9,4.7,1.6,7.3,15.8,8.5,817,399,114,547,8.3,16.9,1,15.9,1877,241,9.7,70.1
"101008","SAHTLAM",NA,103,NA,NA,12.9,22.8,12.8333333333333,4.06666666666667,3.93333333333333,11.0666666666667,5.8,0.333333333333333,8.41666666666667,16.9333333333333,9.31666666666667,2.2,216,NA,9.21666666666667,17.85,1.55,16.3,NA,82.6388888888889,5.2,13,22.5,13.5,0.1,3.9,10.9,5.5,2.7,8.5,16.7,9.5,675,325,104,494,9.3,17.8,2.1,15.7,1597,219,12.1,81.1
"101009","SHAWN LK CFS",NA,93,NA,NA,12.7333333333333,21.9,13.6,5.2,4.16666666666667,11.2333333333333,5.96666666666667,0.133333333333333,8.45,16.5666666666667,9.78333333333333,2.66666666666667,197,NA,9.36666666666667,17.8,1.95,15.85,NA,90.3553299492386,5.1,12.5,21.8,13,0,3.5,10.3,5.3,2.5,8,16.1,9.2,714,319,93,493,8.9,17.1,1.9,15.2,1619,199,11.7,86
