St_ID,St_Flag,Name,Elevation,El_Flag,Long,Lat,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
11,NA,SUMMIT,857, ,-124.635237,48.932558,6,2,8,23,55,77,101,108,96,56,24,-1,46
16,NA,ZZ RENFREW,0, ,-124.41,48.5783,-9999,-9999,-9999,-9999,-9999,-9999,109,108,91,61,-9999,-9999,-9999
19,NA,MENZIES CAMP,438, ,-125.7887,50.0486,-17,-19,-9,8,38,72,96,95,66,30,-2,-22,28
21,NA,WOSS CAMP,70, ,-126.6,50.2,2,-4,7,21,50,82,100,100,74,45,17,-4,41
23,NA,ZZ COUS,455, ,-124.9083,49.2267,-9999,-9999,-9999,-9999,53,72,103,104,85,44,-9999,-9999,-9999
25,NA,ZZ COPPER CA,710, ,-124.1067,48.9417,-9999,-9999,-9999,-9999,55,-9999,89,103,101,48,-9999,-9999,-9999
29,NA,ZZ VIEW (FD7,300, ,-125.3333,49.3883,-9999,-9999,-9999,-9999,76,89,124,127,112,60,18,-10,-9999
36,NA,ZZ PASS (CAM,974, ,-124.6483,49.2717,-9999,-9999,-9999,-9999,38,64,93,98,86,36,-9999,-9999,-9999
37,NA,BEAVER CREEK,100, ,-124.9333,49.3775,-3,-7,4,19,53,85,102,101,74,41,15,-5,40
39,NA,ZZ CATS EARS,50, ,-125.385,49.1933,-9999,-9999,-9999,-9999,75,101,128,128,111,75,-9999,-9999,-9999
40,NA,ZZ BARNARD,23, ,-123.76,48.4067,-9999,-9999,-9999,-9999,68,92,-9999,-9999,92,62,-9999,-9999,-9999
41,NA,ZZ PYE LAKE,224, ,-125.5867,50.3117,-9999,-9999,-9999,32,60,88,116,113,89,49,14,-9999,-9999
45,NA,SALTSPRING 2,34, ,-123.474,48.774,5,3,16,28,59,88,99,97,73,42,19,0,44
46,NA,SECHELT ORCH,75, ,-123.719,49.45,15,11,26,46,76,105,124,120,93,62,33,12,60
47,NA,ZZ SECHELT,100, ,-123.715018,49.458316,-9999,5,-9999,42,33,105,126,124,96,57,12,7,-9999
56,NA,BOWSER,184, ,-124.7033,49.4367,10,7,17,39,73,101,124,124,98,54,22,4,56
59,NA,CEDAR,100, ,-123.875,49.0483,1,0,15,37,72,102,125,120,90,52,19,-1,53
60,NA,ZZ SALTSPRIN,150, ,-123.4533,48.7783,-9999,-9999,32,51,79,103,123,127,109,70,37,18,-9999
63,NA,ZZ SQUAMISH,200, ,-123.3967,50.1167,-9999,-9999,-9999,-9999,-9999,95,112,113,84,42,-9999,-9999,-9999
66,NA,BIG SILVER,8, ,-121.8596,49.691,-9999,-2,11,42,73,100,122,123,93,55,17,-8,-9999
67,NA,HAIG CAMP,162, ,-121.492,49.369,-5,4,20,45,78,106,124,123,100,63,25,-9,56
72,NA,UBC RESEARCH,98, ,-122.5733,49.265,3,8,20,39,70,98,117,118,94,57,25,2,54
74,NA,CHILLIWACK N,295, ,-121.6633,49.0983,-6,-3,12,32,66,92,112,110,85,45,13,-13,45
75,NA,TOBA CAMP,1, ,-124.073,50.568,-9999,-9999,-9999,-9999,64,92,107,105,74,38,6,-9999,-9999
82,NA,SCAR CREEK,50, ,-125.0283,51.19,-9999,-9999,-9999,-9999,62,93,107,101,76,43,4,-9999,-9999
87,NA,ZZ TOM BROWN,40, ,-125.808294,50.597834,-9999,-9999,-9999,-9999,-9999,91,111,114,93,57,23,-9999,-9999
93,NA,HONNA,100, ,-132.135,53.255,-9999,11,12,18,48,78,103,107,86,52,20,9,-9999
97,NA,ZZ COPPER,287, ,-131.86,53.15,-9999,-28,16,24,53,76,103,111,83,56,27,2,-9999
98,NA,ZZ KITSAULT,100, ,-129.475,55.4583,-9999,-9999,-9999,-9999,-9999,-9999,120,-9999,-9999,-9999,-9999,-9999,-9999
101,NA,MACHMELL (MB,366, ,-126.4517,51.5933,-9999,-9999,-9999,-9999,48,76,94,97,68,34,-1,-9999,-9999
104,NA,ZZ KEMANO,17, ,-127.9433,53.5633,-9999,-28,-9999,23,54,89,113,113,85,46,0,-29,-9999
105,NA,ROSSWOOD,137, ,-128.8583,54.915,-9999,-9999,-9999,-14,12,48,73,70,40,9,-9999,-9999,-9999
106,NA,KITPARK,75, ,-128.5767,54.17,-9999,-9999,-11,13,49,86,108,108,78,40,-8,-9999,-9999
108,NA,DEASE LK FS,820, ,-129.982887,58.427585,-9999,-162,-115,-52,1,46,70,57,16,-33,-133,-176,-9999
111,NA,ATLIN,729, ,-133.6667,59.5833,-176,-162,-122,-46,7,45,71,64,23,-24,-108,-140,-47
117,NA,SIERRA,584, ,-121.3967,58.8381,-224,-200,-135,-38,19,68,91,69,18,-46,-157,-216,-63
118,NA,HELMUT,598, ,-120.789,59.421,-9999,-9999,-9999,-9999,18,77,100,82,32,-36,-9999,-9999,-9999
120,NA,SILVER,835, ,-121.297,57.4968,-9999,-9999,-9999,-43,4,52,73,57,12,-44,-136,-9999,-9999
121,NA,PADDY,729, ,-120.2368,57.7818,-9999,-9999,-9999,-9999,18,64,87,72,26,-35,-132,-9999,-9999
124,NA,GRAHAM,768, ,-122.4575,56.4347,-9999,-9999,-9999,-9999,1,40,61,51,8,-36,-9999,-9999,-9999
126,NA,TOAD RIVER,711, ,-125.3107,58.8659,-9999,-9999,-9999,-9999,-9,39,64,42,2,-57,-9999,-9999,-9999
127,NA,TUMBLER(DENI,942, ,-120.9341,55.0274,-126,-109,-90,-35,11,52,72,61,24,-19,-88,-146,-33
129,NA,PINK MTN,989, ,-122.5577,57.0765,-9999,-9999,-9999,-9999,-22,21,40,25,-14,-70,-9999,-9999,-9999
131,NA,MUSKWA,780, ,-123.6163,57.8925,-9999,-9999,-9999,-9999,21,61,86,68,23,-42,-9999,-9999,-9999
132,NA,HUDSON HOPE,704, ,-121.9902,56.0347,-144,-124,-85,-15,35,77,100,85,46,-4,-87,-135,-21
136,NA,WONOWON,967, ,-121.7654,56.7185,-146,-125,-90,-16,35,81,103,89,45,-14,-100,-131,-22
138,NA,RED DEER,1306, ,-120.5762,54.633,-9999,-9999,-9999,-9999,19,60,83,77,39,-5,-9999,-9999,-9999
140,NA,LEMORAY,757, ,-122.5171,55.525,-9999,-9999,-9999,-9999,6,48,68,60,23,-12,-9999,-9999,-9999
141,NA,MANSON,1047, ,-124.232,55.5799,-9999,-9999,-9999,-36,-2,42,59,52,15,-28,-9999,-9999,-9999
144,NA,TABLE RIVER,760, ,-122.2732,54.7159,-9999,-9999,-9999,-26,15,56,74,67,25,-7,-9999,-9999,-9999
145,NA,INGENIKA PT,1213, ,-125.176,56.9777,-9999,-9999,-9999,-9999,22,65,80,72,28,-21,-9999,-9999,-9999
146,NA,FORT ST JAME,750, ,-124.261,54.3941,-117,-115,-74,-21,23,58,73,65,25,-13,-70,-124,-24
148,NA,BLACKPINE,1126, ,-125.3679,56.3188,-9999,-9999,-9999,-9999,5,48,68,59,17,-30,-9999,-9999,-9999
149,NA,BEAR LAKE,739, ,-122.691,54.5094,-127,-115,-79,-32,14,57,76,68,24,-16,-75,-139,-29
151,NA,NABESHE,1108, ,-123.3656,56.3643,-9999,-9999,-9999,-9999,15,56,77,67,28,-19,-9999,-9999,-9999
152,NA,SIFTON,985, ,-126.1168,57.8518,-9999,-9999,-9999,-9999,-13,33,58,41,2,-45,-9999,-9999,-9999
153,NA,MCLEOD LAKE,915, ,-123.0773,54.7259,-9999,-9999,-9999,-9999,21,65,77,74,32,-12,-9999,-9999,-9999
154,NA,WITCH,1030, ,-124.265,55.023,-9999,-9999,-9999,-9999,-9999,40,57,48,10,-28,-92,-9999,-9999
156,NA,SUSTUT,871, ,-127.0339,56.3287,-9999,-9999,-9999,-9999,4,47,71,63,24,-15,-9999,-9999,-9999
161,NA,GRASSY PLAIN,944, ,-125.8667,53.9467,-99,-90,-59,-21,19,48,70,64,33,-5,-56,-97,-16
162,NA,HOUSTON(DUNG,608, ,-126.6267,54.4117,-137,-114,-70,-33,3,38,58,43,13,-21,-76,-134,-36
163,NA,LOVELL COVE,990, ,-126.0513,55.6885,-9999,-9999,-9999,-32,4,41,61,56,20,-19,-9999,-9999,-9999
164,NA,EUTSUK,1036, ,-126.17,53.27,-9999,-9999,-9999,-9999,14,52,79,77,41,0,-9999,-9999,-9999
165,NA,MOOSE LAKE,1109, ,-125.4122,53.0715,-163,-145,-105,-56,-15,17,37,26,-5,-35,-98,-154,-58
166,NA,KLUSKUS,1137, ,-124.5121,53.3831,-9999,-9999,-9999,-42,-1,38,62,52,19,-23,-85,-135,-9999
167,NA,AUGIER LAKE,900, ,-125.52,54.3633,-9999,-9999,-9999,-56,-13,25,44,34,2,-31,-9999,-9999,-9999
169,NA,UPPER FULTON,900, ,-126.8,55.0333,-9999,-9999,-9999,-50,-12,27,49,39,4,-31,-96,-138,-9999
170,NA,EAST OOTSA,1089, ,-125.7717,53.5017,-9999,-9999,-9999,-9999,8,41,69,65,29,-11,-65,-101,-9999
171,NA,LEO CREEK,915, ,-125.4774,55.0818,-9999,-9999,-9999,-24,19,59,81,78,38,-5,-9999,-9999,-9999
172,NA,NILKITKWA,978, ,-126.5783,55.5533,-9999,-9999,-83,-39,-2,32,55,45,15,-20,-83,-122,-9999
173,NA,NORTH BABINE,951, ,-126.2117,55.1367,-9999,-9999,-9999,-36,3,40,58,52,16,-20,-78,-116,-9999
175,NA,BEDNESTI,858, ,-123.3233,53.8654,-9999,-9999,-9999,-15,35,72,92,85,43,-3,-58,-104,-9999
178,NA,PEDEN,747, ,-126.5217,53.9867,-118,-110,-72,-36,1,33,53,45,12,-21,-69,-122,-34
179,NA,NADINA,954, ,-126.9278,53.9425,-110,-106,-80,-46,-4,31,58,52,18,-20,-69,-113,-32
180,NA,MCBRIDE LAKE,815, ,-127.4017,54.07,-111,-114,-82,-48,-5,27,52,46,13,-17,-68,-120,-36
181,NA,BURNS LAKE 8,830, ,-125.755,54.2567,-112,-102,-69,-29,13,50,70,61,23,-16,-67,-115,-24
182,NA,GANOKWA,855, ,-126.9483,54.805,-120,-112,-75,-40,-6,27,49,45,9,-23,-74,-117,-36
183,NA,ZZ PARROTT L,1259, ,-126.385,54.0183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72,47,-9,-9999,-9999,-9999
187,NA,HIXON,615, ,-122.591,53.4265,-112,-98,-63,-18,23,58,74,65,30,-7,-55,-108,-18
189,NA,CHILAKO,814, ,-123.6092,53.4937,-9999,-9999,-9999,-42,8,44,64,53,12,-28,-90,-152,-9999
190,NA,JERRY,997, ,-122.1062,53.5266,-9999,-9999,-9999,-9999,1,35,53,45,11,-22,-9999,-9999,-9999
191,NA,MCGREGOR,638, ,-121.8266,54.0778,-115,-88,-57,-22,21,58,76,65,29,-4,-54,-113,-17
192,NA,MCGREGOR 2,975, ,-120.6361,53.9292,-9999,-9999,-9999,-16,25,60,77,72,37,-4,-9999,-9999,-9999
193,NA,BOWRON HAGGE,945, ,-121.5589,53.4632,-9999,-9999,-9999,-9999,7,43,59,50,18,-12,-9999,-9999,-9999
194,NA,VALEMOUNT 1,797, ,-119.2973,52.87,-110,-79,-47,-18,23,62,81,71,30,-7,-53,-104,-13
195,NA,MCBRIDE,716, ,-120.1522,53.295,-89,-78,-43,-8,27,66,85,75,42,3,-47,-95,-5
199,NA,CATFISH,866, ,-120.8567,53.5765,-107,-9999,-62,-22,16,55,79,68,29,-10,-68,-119,-9999
200,NA,VALEMOUNT 2,1195, ,-119.3148,52.7881,-86,-76,-60,-20,-5,53,74,68,27,-10,-58,-104,-16
201,NA,HOLMES,1179, ,-119.7132,53.3454,-9999,-9999,-9999,-17,21,59,81,73,39,-6,-65,-9999,-9999
202,NA,TONQUIN -PAR,1667, ,-118.4701,52.7027,-9999,-9999,-9999,-9999,1,36,64,58,23,-22,-9999,-9999,-9999
206,NA,TAUTRI,1085, ,-123.25,52.535,-9999,-120,-89,-40,2,36,56,44,8,-32,-90,-136,-9999
