St_ID,St_Flag,Name,Elevation,El_Flag,Long,Lat,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
11,NA,SUMMIT,857, ,-124.635237,48.932558,45,52,64,95,136,165,207,206,177,112,67,40,114
16,NA,ZZ RENFREW,0, ,-124.41,48.5783,-9999,-9999,-9999,-9999,-9999,-9999,179,190,177,137,-9999,-9999,-9999
21,NA,WOSS CAMP,70, ,-126.6,50.2,57,76,96,129,165,195,224,227,196,128,73,42,134
23,NA,ZZ COUS,455, ,-124.9083,49.2267,-9999,-9999,-9999,-9999,156,179,221,224,192,119,-9999,-9999,-9999
25,NA,ZZ COPPER CA,710, ,-124.1067,48.9417,-9999,-9999,-9999,-9999,127,-9999,206,212,175,99,-9999,-9999,-9999
29,NA,ZZ VIEW (FD7,300, ,-125.3333,49.3883,-9999,-9999,-9999,-9999,149,173,216,218,187,114,56,25,-9999
36,NA,ZZ PASS (CAM,974, ,-124.6483,49.2717,-9999,-9999,-9999,-9999,98,127,166,173,151,88,-9999,-9999,-9999
37,NA,BEAVER CREEK,100, ,-124.9333,49.3775,53,75,105,142,184,216,254,256,223,144,75,44,148
39,NA,ZZ CATS EARS,50, ,-125.385,49.1933,-9999,-9999,-9999,-9999,150,178,205,209,191,141,-9999,-9999,-9999
40,NA,ZZ BARNARD,23, ,-123.76,48.4067,-9999,-9999,-9999,-9999,193,228,-9999,-9999,211,139,-9999,-9999,-9999
41,NA,ZZ PYE LAKE,224, ,-125.5867,50.3117,-9999,-9999,-9999,120,160,187,215,225,195,112,60,-9999,-9999
45,NA,SALTSPRING 2,34, ,-123.474,48.774,72,91,106,134,167,193,219,219,198,140,95,65,142
46,NA,SECHELT ORCH,75, ,-123.719,49.45,71,78,105,127,162,189,217,218,189,134,90,65,137
47,NA,ZZ SECHELT,100, ,-123.715018,49.458316,-9999,74,-9999,131,109,193,216,220,187,134,90,64,-9999
56,NA,BOWSER,184, ,-124.7033,49.4367,59,71,96,129,171,203,232,232,195,128,77,48,137
59,NA,CEDAR,100, ,-123.875,49.0483,65,81,104,137,174,205,239,240,207,142,89,57,145
60,NA,ZZ SALTSPRIN,150, ,-123.4533,48.7783,-9999,-9999,105,138,172,203,232,232,198,135,85,58,-9999
63,NA,ZZ SQUAMISH,200, ,-123.3967,50.1167,-9999,-9999,-9999,-9999,-9999,215,253,250,211,130,-9999,-9999,-9999
66,NA,BIG SILVER,8, ,-121.8596,49.691,-9999,79,105,149,187,214,253,256,214,137,70,38,-9999
67,NA,HAIG CAMP,162, ,-121.492,49.369,43,80,111,154,184,207,237,240,212,143,72,30,143
72,NA,UBC RESEARCH,98, ,-122.5733,49.265,52,75,102,137,173,199,233,236,201,134,74,46,139
74,NA,CHILLIWACK N,295, ,-121.6633,49.0983,51,74,100,132,169,191,225,229,198,134,71,40,135
75,NA,TOBA CAMP,1, ,-124.073,50.568,-9999,-9999,-9999,-9999,199,228,253,249,208,124,51,-9999,-9999
82,NA,SCAR CREEK,50, ,-125.0283,51.19,-9999,-9999,-9999,-9999,198,231,257,251,210,129,54,-9999,-9999
87,NA,ZZ TOM BROWN,40, ,-125.808294,50.597834,-9999,-9999,-9999,-9999,-9999,191,222,225,186,119,62,-9999,-9999
93,NA,HONNA,100, ,-132.135,53.255,-9999,70,81,104,139,166,190,194,167,118,74,55,-9999
97,NA,ZZ COPPER,287, ,-131.86,53.15,-9999,30,62,82,118,143,170,174,147,101,64,40,-9999
98,NA,ZZ KITSAULT,100, ,-129.475,55.4583,-9999,-9999,-9999,-9999,-9999,-9999,198,-9999,-9999,-9999,-9999,-9999,-9999
104,NA,ZZ KEMANO,17, ,-127.9433,53.5633,-9999,26,-9999,122,171,204,227,221,170,97,35,2,-9999
105,NA,ROSSWOOD,137, ,-128.8583,54.915,-9999,-9999,-9999,127,173,204,225,221,168,96,-9999,-9999,-9999
106,NA,KITPARK,75, ,-128.5767,54.17,-9999,-9999,75,125,172,202,226,224,178,115,40,-9999,-9999
111,NA,ATLIN,729, ,-133.6667,59.5833,-92,-57,-3,65,121,171,188,173,118,50,-32,-70,53
117,NA,SIERRA,584, ,-121.3967,58.8381,-136,-77,-10,82,148,197,215,200,137,48,-62,-134,51
118,NA,HELMUT,598, ,-120.789,59.421,-9999,-9999,-9999,-9999,135,196,211,194,130,43,-9999,-9999,-9999
119,NA,NELSON FORKS,604, ,-124.0985,59.6173,-140,-78,-26,85,135,190,208,191,125,33,-60,-112,46
120,NA,SILVER,835, ,-121.297,57.4968,-9999,-9999,-9999,86,137,184,205,198,138,60,-42,-9999,-9999
121,NA,PADDY,729, ,-120.2368,57.7818,-9999,-9999,-9999,-9999,146,194,213,202,141,65,-37,-9999,-9999
124,NA,GRAHAM,768, ,-122.4575,56.4347,-9999,-9999,-9999,-9999,158,201,225,211,156,83,-9999,-9999,-9999
126,NA,TOAD RIVER,711, ,-125.3107,58.8659,-9999,-9999,-9999,-9999,145,198,216,201,142,59,-9999,-9999,-9999
129,NA,PINK MTN,989, ,-122.5577,57.0765,-9999,-9999,-9999,-9999,133,185,204,193,139,65,-9999,-9999,-9999
131,NA,MUSKWA,780, ,-123.6163,57.8925,-9999,-9999,-9999,-9999,139,184,210,199,149,73,-9999,-9999,-9999
132,NA,HUDSON HOPE,704, ,-121.9902,56.0347,-62,-22,21,102,158,202,226,214,163,87,-8,-46,86
136,NA,WONOWON,967, ,-121.7654,56.7185,-79,-44,-11,75,132,177,197,188,134,57,-35,-76,60
138,NA,RED DEER,1306, ,-120.5762,54.633,-9999,-9999,-9999,-9999,112,156,181,175,125,67,-9999,-9999,-9999
140,NA,LEMORAY,757, ,-122.5171,55.525,-9999,-9999,-9999,-9999,149,189,214,205,149,79,-9999,-9999,-9999
141,NA,MANSON,1047, ,-124.232,55.5799,-9999,-9999,-9999,79,126,172,196,191,139,57,-9999,-9999,-9999
144,NA,TABLE RIVER,760, ,-122.2732,54.7159,-9999,-9999,-9999,102,158,196,216,211,156,84,-9999,-9999,-9999
146,NA,FORT ST JAME,750, ,-124.261,54.3941,-44,-7,47,101,156,191,216,213,160,87,-1,-52,89
149,NA,BEAR LAKE,739, ,-122.691,54.5094,-48,-11,39,96,157,196,220,213,156,79,-5,-58,86
151,NA,NABESHE,1108, ,-123.3656,56.3643,-9999,-9999,-9999,-9999,112,167,191,184,129,57,-9999,-9999,-9999
152,NA,SIFTON,985, ,-126.1168,57.8518,-9999,-9999,-9999,-9999,122,175,196,180,115,33,-9999,-9999,-9999
153,NA,MCLEOD LAKE,915, ,-123.0773,54.7259,-9999,-9999,-9999,-9999,139,179,202,198,144,65,-9999,-9999,-9999
154,NA,WITCH,1030, ,-124.265,55.023,-9999,-9999,-9999,-9999,-9999,168,192,183,131,57,-27,-9999,-9999
156,NA,SUSTUT,871, ,-127.0339,56.3287,-9999,-9999,-9999,-9999,143,184,204,195,135,57,-9999,-9999,-9999
158,NA,VANDERHOOF,678, ,-124.0102,54.0555,-45,-8,52,110,160,193,220,216,165,96,6,-46,93
159,NA,NORTH CHILCO,850, ,-123.7541,54.1546,-50,-9999,45,96,144,185,209,204,152,80,-4,-48,-9999
161,NA,GRASSY PLAIN,944, ,-125.8667,53.9467,-32,-7,33,82,133,171,199,199,152,77,2,-36,81
162,NA,HOUSTON(DUNG,608, ,-126.6267,54.4117,-43,0,50,107,158,196,223,218,170,90,4,-45,94
163,NA,LOVELL COVE,990, ,-126.0513,55.6885,-9999,-9999,-9999,87,139,177,199,192,135,60,-9999,-9999,-9999
164,NA,EUTSUK,1036, ,-126.17,53.27,-9999,-9999,-9999,-9999,132,167,197,194,152,77,-9999,-9999,-9999
166,NA,KLUSKUS,1137, ,-124.5121,53.3831,-9999,-9999,-9999,86,133,172,200,197,151,81,8,-39,-9999
167,NA,AUGIER LAKE,900, ,-125.52,54.3633,-9999,-9999,-9999,95,145,181,206,203,153,79,-9999,-9999,-9999
169,NA,UPPER FULTON,900, ,-126.8,55.0333,-9999,-9999,-9999,85,133,173,195,190,139,60,-18,-63,-9999
170,NA,EAST OOTSA,1089, ,-125.7717,53.5017,-9999,-9999,-9999,-9999,133,165,197,195,151,75,1,-35,-9999
171,NA,LEO CREEK,915, ,-125.4774,55.0818,-9999,-9999,-9999,81,138,173,199,193,139,67,-9999,-9999,-9999
173,NA,NORTH BABINE,951, ,-126.2117,55.1367,-9999,-9999,-9999,83,131,169,193,189,136,65,-7,-53,-9999
175,NA,BEDNESTI,858, ,-123.3233,53.8654,-9999,-9999,-9999,100,151,187,212,208,157,85,1,-43,-9999
183,NA,ZZ PARROTT L,1259, ,-126.385,54.0183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,174,129,50,-9999,-9999,-9999
187,NA,HIXON,615, ,-122.591,53.4265,-21,16,70,127,178,214,241,236,180,106,23,-24,112
189,NA,CHILAKO,814, ,-123.6092,53.4937,-9999,-9999,-9999,116,166,202,228,224,173,94,1,-51,-9999
190,NA,JERRY,997, ,-122.1062,53.5266,-9999,-9999,-9999,-9999,149,183,213,208,155,82,-9999,-9999,-9999
191,NA,MCGREGOR,638, ,-121.8266,54.0778,-28,13,58,111,172,209,233,228,172,94,14,-28,104
192,NA,MCGREGOR 2,975, ,-120.6361,53.9292,-9999,-9999,-9999,87,146,186,207,206,153,75,-9999,-9999,-9999
193,NA,BOWRON HAGGE,945, ,-121.5589,53.4632,-9999,-9999,-9999,-9999,165,197,223,219,172,102,-9999,-9999,-9999
194,NA,VALEMOUNT 1,797, ,-119.2973,52.87,-28,10,60,120,178,214,242,237,180,99,19,-27,109
195,NA,MCBRIDE,716, ,-120.1522,53.295,-18,9,61,123,174,209,228,221,169,98,17,-32,105
200,NA,VALEMOUNT 2,1195, ,-119.3148,52.7881,-42,-7,44,93,115,184,212,211,153,74,-11,-54,81
201,NA,HOLMES,1179, ,-119.7132,53.3454,-9999,-9999,-9999,107,159,196,220,218,165,80,-8,-9999,-9999
202,NA,TONQUIN -PAR,1667, ,-118.4701,52.7027,-9999,-9999,-9999,-9999,113,150,179,182,131,57,-9999,-9999,-9999
206,NA,TAUTRI,1085, ,-123.25,52.535,-9999,8,46,88,143,177,207,204,160,89,6,-40,-9999
208,NA,TATLA LAKE,945, ,-124.605,51.9067,-27,15,66,111,158,199,231,230,188,108,11,-43,104
209,NA,ALEXIS CREEK,791, ,-123.2717,52.0767,-31,11,79,129,175,215,246,245,201,116,17,-43,113
210,NA,RISKE CREEK,884, ,-122.51,51.96,-14,21,61,110,158,195,236,226,180,105,25,-37,106
211,NA,NAZKO,910, ,-123.5958,52.9575,-9999,-9999,-9999,113,163,198,228,226,180,107,-9999,-9999,-9999
212,NA,PLACE LK.,1065, ,-122,51.8167,-9999,-9999,-9999,106,151,190,224,221,174,101,28,-9999,-9999
213,NA,ANAHIM LAKE,1096, ,-125.3033,52.4567,-24,14,51,88,138,171,204,201,163,89,9,-36,89
218,NA,LONE BUTTE,1158, ,-121.162,51.507,-13,7,47,93,141,176,215,212,163,84,7,-36,91
222,NA,GASPARD,1675, ,-122.6617,51.4517,-38,-30,-19,59,101,138,174,172,130,46,-29,-54,54
225,NA,KNIFE,945, ,-121.885,52.065,-9999,19,-9999,119,169,208,242,238,187,112,31,-22,-9999
226,NA,MIDDLE LAKE,915, ,-124.875,51.7017,-4,32,71,119,160,200,233,232,190,109,32,-22,113
227,NA,GAVIN,1081, ,-121.7417,52.47,-10,7,-9999,99,144,181,212,209,158,83,9,-37,-9999
228,NA,BENSON,1006, ,-122.065,52.91,-20,-9999,-9999,97,149,184,212,210,156,80,0,-38,-9999
230,NA,HORSEFLY,701, ,-121.3967,52.33,-5,24,73,121,173,208,239,236,183,108,26,-18,114
231,NA,ZZ THUYA LAK,1432, ,-120.34,51.4117,-9999,-9999,-9999,-9999,-9999,164,199,-9999,148,-9999,-9999,-9999,-9999
232,NA,COLDSCAUR LA,1158, ,-120.39,51.725,-32,6,54,102,152,188,223,219,166,82,2,-42,93
233,NA,TALCHAKO (MB,244, ,-126.0283,52.2517,-9999,-9999,-9999,143,190,222,241,241,186,106,-9999,-9999,-9999
234,NA,TIMOTHY,1161, ,-121.389,51.913,1,15,-9999,-9999,140,182,216,215,166,89,10,-23,-9999
235,NA,YOUNG LAKE,1170, ,-120.9976,51.2378,-16,-9999,-9999,-9999,145,185,222,215,166,89,8,-38,-9999
236,NA,MEADOW LAKE,1070, ,-121.7167,51.375,-9999,18,56,101,146,186,221,218,172,97,12,-34,-9999
239,NA,CLEARWATER,396, ,-120.095,51.6283,-19,25,92,154,209,243,280,273,207,110,23,-25,131
242,NA,ZZ HEMP (NEC,762, ,-120.03,51.925,-9999,-9999,-9999,-9999,174,207,242,-9999,186,-9999,-9999,-9999,-9999
243,NA,EAST BARRIER,671, ,-119.8817,51.2533,-23,25,85,138,192,227,267,262,203,110,21,-24,124
249,NA,ZZ VAVENBY (,792, ,-119.6733,51.585,-9999,-9999,-9999,-9999,177,215,252,-9999,187,-9999,-9999,-9999,-9999
251,NA,DECEPTION,1170, ,-120.608,51.967,-14,10,-9999,-9999,144,187,219,215,164,83,4,-31,-9999
253,NA,CAHILTY,1615, ,-119.8383,50.8883,-9999,-9999,14,61,108,146,184,181,133,56,-17,-9999,-9999
255,NA,LIKELY RS,1046, ,-121.5133,52.615,-2,12,56,103,156,192,224,221,167,90,15,-24,101
257,NA,BLUE RIVER F,683, ,-119.2983,52.12,-21,11,65,119,181,218,253,251,189,92,10,-36,111
262,NA,BIG VALLEY,1355, ,-121.7617,53.2617,-9999,-19,12,53,102,141,169,167,121,52,-9,-34,-9999
