ID1,ID2,Latitude,Longitude,Elevation
4A09P,BAFAun,57.5333,-126.782997,2183
glac10,BAFAun,51.20328,-124.379898,2204
glac19,BAFAun,51.56834,-124.819397,2045
glac34,BAFAun,53.59208,-127.498199,1777
glac35,BAFAun,54.20861,-120.5886,2034
glac39,BAFAun,55.14068,-128.400497,1785
glac40,BAFAun,54.81349,-127.318298,1900
glac48,BAFAun,57.274,-131.706299,1404
glac49,BAFAun,56.89777,-130.787796,1636
glac58,BAFAun,57.79992,-132.072998,1743
glac59,BAFAun,57.68356,-131.099503,2041
glac61,BAFAun,57.52293,-128.785797,2023
glac62,BAFAun,58.33606,-125.535103,2318
glac73,BAFAun,59.87114,-137.710907,1673
glac74,BAFAun,59.70083,-137.430099,1544
4A09P,BAFAun,57.5333,-126.782997,2183
120064,BAFAun,56.916667,-130.949997,1182
53124,BAFAun,56.77531,-129.896942,1781
333,BGxh1,49.000571,-119.726547,355
24547,BGxh1,49.1574,-119.587402,349
25672,BGxh1,49.1228,-119.576599,296
25602,BGxh1,49.011833,-119.462753,296
1121459,BGxh1,49.183333,-119.76667,402
1124110,BGxh1,49.2,-119.816666,408
1124112,BGxh1,49.216667,-119.816666,440
1125760,BGxh1,49.16583,-119.564201,310
1125765,BGxh1,49.183333,-119.533333,324
1125766,BGxh1,49.17917,-119.544701,296
1125850,BGxh1,49.033333,-119.433334,314
1125852,BGxh1,49.02833,-119.441101,283
1125865,BGxh1,49.03194,-119.442802,283
1125G0A,BGxh1,49.316667,-119.550003,383
112152,BGxh1,49.231944,-119.563057,397
333,BGxh1,49.000571,-119.726547,355
18482,BGxh1,49.024083,-119.420807,387
24547,BGxh1,49.1574,-119.587402,349
25602,BGxh1,49.011833,-119.462753,296
25672,BGxh1,49.1228,-119.576599,296
SBC24,BGxh1,49.182528,-119.743248,420
112097,BGxh1,49.120833,-119.543053,378
112099,BGxh1,49.089722,-119.710831,417
112152,BGxh1,49.231944,-119.563057,397
112300,BGxh1,49.206944,-119.521667,439
112302,BGxh1,49.109722,-119.580559,449
1160520,BGxh2,50.733333,-121.26667,326
1160540,BGxh2,50.716667,-121.333336,502
1163779,BGxh2,50.666667,-120.333336,460
116NJ9F,BGxh2,50.65,-119.949997,356
116NJRF,BGxh2,50.65,-120.01667,353
275,BGxh2,50.664933,-120.36084,558
T36,BGxh2,50.716667,-121.333336,502
1160511,BGxh2,50.733333,-121.26667,326
1163810,BGxh2,50.716667,-120.433334,409
1163842,BGxh2,50.70222,-120.441902,346
1163875,BGxh2,50.683333,-120.25,390
1163873,BGxh2,50.666667,-120.316666,413
1163780,BGxh2,50.70222,-120.441902,346
1161215,BGxh2,50.916667,-121.416664,516
1160510,BGxh2,50.716667,-121.283333,289
1167637,BGxh2,50.416667,-121.316666,377
T36,BGxh2,50.716667,-121.333336,502
116218,BGxh2,50.781944,-121.083336,325
116310,BGxh2,50.629167,-121.297218,432
1116062,BGxh3,50.883333,-121.883331,562
111KFLR,BGxh3,51.066667,-121.933334,656
1164LH5,BGxw1,50.6,-120.316666,867
322,BGxw1,50.6733,-120.481697,688
116409,BGxw1,50.138889,-120.689445,634
116412,BGxw1,50.205833,-120.337502,891
1163790,BGxw1,50.666667,-120.5,671
1122541,BGxw1,50.166667,-120.199997,810
1125070,BGxw1,50.116667,-120.800003,626
1125079,BGxw1,50.11417,-120.800797,596
1125586,BGxw1,50.25,-120.449997,638
116409,BGxw1,50.138889,-120.689445,634
116412,BGxw1,50.205833,-120.337502,891
322,BGxw1,50.6733,-120.481697,688
qu107,BGxw1,50.179722,-120.504997,628
109QR57,BGxw2,51.85,-122.650002,549
110,BWBSdk,57.9033,-131.196701,349
111,BWBSdk,59.5833,-133.666702,718
112,BWBSdk,57.8567,-130.008301,894
1188696,BWBSdk,57.433333,-125.633331,772
1183090,BWBSdk,55.78553,-124.701401,760
1183651,BWBSdk,56.8,-124.900002,691
AKI,BWBSdk,57.188333,-124.895554,796
AKN,BWBSdk,56.436667,-125.741669,1060
FIN,BWBSdk,57.125,-125.249168,705
ING,BWBSdk,56.730556,-125.103058,686
OMI,BWBSdk,55.94,-124.559998,782
OSL,BWBSdk,56.126667,-124.801392,817
4A04,BWBSdk,57.4076,-125.677299,968
4A06,BWBSdk,56.3081,-125.600304,1045
4C15,BWBSdk,59.2498,-129.654999,940
4D01,BWBSdk,57.9391,-131.144806,488
4D02,BWBSdk,57.8526,-129.991394,930
4A30P,BWBSdk,56.45,-125.733002,1024
4E02A,BWBSdk,59.5841,-133.725494,707
120058,BWBSdk,57.666667,-127.599998,1082
108,BWBSdk,58.427585,-129.98288,822
1204958,BWBSdk,57.96,-129.259995,884
4C03,BWBSdk,58.4294,-130.011307,805
145,BWBSdk,56.9777,-125.176003,1089
148,BWBSdk,56.3188,-125.367897,1115
152,BWBSdk,57.8518,-126.116798,969
1191440,BWBSdk,59.283333,-129.833328,1178
1192340,BWBSdk,58.42833,-130.010605,805
119BLM0,BWBSdk,58.42584,-130.025604,804
1200560,BWBSdk,59.56667,-133.699997,671
1203255,BWBSdk,59.6,-134.183304,681
1203672,BWBSdk,57.866667,-130.016663,975
1204215,BWBSdk,57.533333,-130.199997,824
1208040,BWBSdk,57.9,-131.166672,169
1208202,BWBSdk,57.6,-130.066666,907
09AASC04,BWBSdk,59.567,-133.699997,671
09AESC01,BWBSdk,60,-132.117004,828
OMI,BWBSdk,55.94,-124.559998,782
111,BWBSdk,59.5833,-133.666702,718
152,BWBSdk,57.8518,-126.116798,969
AKI,BWBSdk,57.188333,-124.895554,796
AKN,BWBSdk,56.436667,-125.741669,1060
FIN,BWBSdk,57.125,-125.249168,705
ING,BWBSdk,56.730556,-125.103058,686
118297,BWBSdk,55.6875,-124.890282,1022
120058,BWBSdk,57.666667,-127.599998,1082
120059,BWBSdk,57.633333,-128.199997,1069
120068,BWBSdk,57.6,-129.433334,879
120069,BWBSdk,57.966667,-129.266663,775
120071,BWBSdk,58.033333,-127.866669,1006
120072,BWBSdk,58.133333,-130.316666,816
OSL,BWBSdk,56.126667,-124.801392,817
118245,BWBSdk,55.816667,-125.199997,918
118248,BWBSdk,56.023611,-125.262497,979
118274,BWBSdk,56.333333,-125.3125,951
1180750,BWBSmk,57.383333,-121.383331,807
116,BWBSmk,57.436307,-120.487801,816
1187335,BWBSmk,57.25028,-122.718102,929
599,BWBSmk,58.8376,-122.574997,369
438,BWBSmk,59.3337,-125.511398,435
440,BWBSmk,59.7227,-127.3349,735
441,BWBSmk,59.657382,-126.916962,510
443,BWBSmk,59.294191,-129.287674,770
444,BWBSmk,58.727,-127.125,678
445,BWBSmk,59.3683,-129.110001,732
4C05,BWBSmk,58.8406,-122.570702,368
pptps04,BWBSmk,59.9,-126.433334,671
118,BWBSmk,59.421,-120.789001,587
119,BWBSmk,59.6173,-124.098503,657
120,BWBSmk,57.4968,-121.296997,832
126,BWBSmk,58.8659,-125.310699,701
131,BWBSmk,57.8925,-123.616302,773
1192950,BWBSmk,58.833333,-122.599998,374
1193245,BWBSmk,59.3,-129.28334,761
1194722,BWBSmk,59.933333,-128.5,581
119512R,BWBSmk,58.783333,-122.666664,290
1195165,BWBSmk,57.85,-123.033333,635
11951B9,BWBSmk,58.85,-122.866669,563
1195J29,BWBSmk,58.6525,-124.231903,804
1198194,BWBSmk,58.85,-125.23333,715
pptps05,BWBSmk,58.835716,-121.406685,576
120,BWBSmk,57.4968,-121.296997,832
121,BWBSmk,57.7818,-120.236801,722
126,BWBSmk,58.8659,-125.310699,701
438,BWBSmk,59.3337,-125.511398,435
444,BWBSmk,58.727,-127.125,678
445,BWBSmk,59.3683,-129.110001,732
599,BWBSmk,58.8376,-122.574997,369
117,BWBSmk,58.8381,-121.396698,572
118,BWBSmk,59.421,-120.789001,587
119,BWBSmk,59.6173,-124.098503,657
129,BWBSmk,57.0765,-122.557701,977
131,BWBSmk,57.8925,-123.616302,773
770705,BWBSmk,58.810278,-122.70417,455
1188973,BWBSmw,56.733333,-121.800003,899
118L0LK,BWBSmw,56.25306,-121.033897,806
118L6C0,BWBSmw,56.083333,-121.966667,686
1180490,BWBSmw,55.733333,-120.533333,715
1180585,BWBSmw,56.233333,-120.683334,693
1181465,BWBSmw,56.333333,-120.283333,777
11814FR,BWBSmw,56.29758,-121.016403,753
1181508,BWBSmw,55.68722,-121.626701,612
1181510,BWBSmw,55.233333,-121.650002,746
1182285,BWBSmw,55.75,-120.183334,640
1182290,BWBSmw,55.783333,-120.199997,764
1182427,BWBSmw,55,-121.033333,759
1183000,BWBSmw,56.23806,-120.740303,686
1183629,BWBSmw,56.033333,-121.900002,503
1188020,BWBSmw,56.16667,-120.687798,511
1188026,BWBSmw,56.116667,-120.633331,463
1180R07,BWBSmw,56.333333,-120.099998,693
1181509,BWBSmw,55.7,-121.616669,622
1182280,BWBSmw,55.75,-120.216667,648
1183FL0,BWBSmw,56.016667,-122.199997,639
1185640,BWBSmw,56.433333,-120.783333,721
1186428,BWBSmw,56.916667,-121.033333,697
1186839,BWBSmw,55.916667,-120.066666,638
1186842,BWBSmw,56.133333,-120.133331,638
1186868,BWBSmw,56.65,-120.76667,659
HFF,BWBSmw,56.25085,-121.62944,476
436,BWBSmw,55.240291,-120.032738,880
437,BWBSmw,55.2958,-120.486099,976
FSH,BWBSmw,55.777,-122.231003,769
MOB,BWBSmw,56.093056,-121.346947,605
WSC,BWBSmw,56.106111,-122.715836,672
118420,BWBSmw,55.136667,-121.008331,831
118603,BWBSmw,56.216667,-121.433334,441
118618,BWBSmw,55.616667,-121.98333,840
118624,BWBSmw,56.116667,-121.76667,466
118629,BWBSmw,56.133333,-120.633331,406
123,BWBSmw,56.519641,-122.38195,773
124,BWBSmw,56.4347,-122.457497,758
127,BWBSmw,55.0274,-120.934097,931
137,BWBSmw,56.1,-122.300003,672
WSC,BWBSmw,56.106111,-122.715836,672
43091,BWBSmw,55.7815,-120.762558,762
124,BWBSmw,56.4347,-122.457497,758
132,BWBSmw,56.0347,-121.990196,696
437,BWBSmw,55.2958,-120.486099,976
HFF,BWBSmw,56.25085,-121.62944,476
MOB,BWBSmw,56.093056,-121.346947,605
118009,BWBSmw,55.899722,-120.50972,709
118023,BWBSmw,56.237778,-121.311668,434
118034,BWBSmw,56.05,-122.133331,985
118043,BWBSmw,55.794167,-121.443336,727
118051,BWBSmw,56.048611,-121.322777,713
118057,BWBSmw,55.7,-121.583336,617
118072,BWBSmw,55.6,-121.308334,768
118074,BWBSmw,55.6725,-121.580833,919
118081,BWBSmw,55.78,-120.946388,727
118085,BWBSmw,55.515556,-120.461945,829
118093,BWBSmw,55.711111,-120.763336,856
118106,BWBSmw,55.7225,-120.061943,806
118152,BWBSmw,56.764167,-120.991669,715
118402,BWBSmw,55.3375,-121.721664,656
118404,BWBSmw,55.241389,-121.658333,739
118407,BWBSmw,55.090833,-120.940002,847
118413,BWBSmw,55.04,-120.96917,903
118416,BWBSmw,55.276667,-121.379997,950
118419,BWBSmw,55.426667,-121.555557,839
118420,BWBSmw,55.136667,-121.008331,831
118425,BWBSmw,55.888333,-121.078331,900
118433,BWBSmw,54.9425,-120.23333,974
118436,BWBSmw,55.523611,-120.737503,943
118435,BWBSmw,55.7025,-121.216667,696
118442,BWBSmw,55.165833,-121.803329,727
118527,BWBSmw,55.499167,-121.630836,596
118600,BWBSmw,56.216667,-121.416664,461
118603,BWBSmw,56.216667,-121.433334,441
118604,BWBSmw,56.283333,-121.48333,643
118606,BWBSmw,56.55,-120.599998,691
118609,BWBSmw,56.100278,-120.033333,613
118610,BWBSmw,56.15,-121.866669,696
118611,BWBSmw,56.116667,-120.050003,449
118618,BWBSmw,55.616667,-121.98333,840
118615,BWBSmw,56.4,-121.166664,876
118623,BWBSmw,56.116667,-121.75,445
118624,BWBSmw,56.116667,-121.76667,466
118629,BWBSmw,56.133333,-120.633331,406
118632,BWBSmw,56.233333,-122.083336,833
118633,BWBSmw,55.916667,-120.75,800
118646,BWBSmw,56.05,-121.900002,522
770708,BWBSmw,56.150833,-120.686111,475
PMD,BWBSmw,56.0125,-122.183502,718
118414,BWBSwk1,55.218333,-121.259171,969
118434,BWBSwk1,54.833333,-120.59333,1088
3074582,BWBSwk1,54.6,-120.01667,1136
118405,BWBSwk1,55.235833,-121.623337,1026
118406,BWBSwk1,55.230833,-121.594719,1119
118414,BWBSwk1,55.218333,-121.259171,969
118417,BWBSwk1,55.425,-120.758331,1061
118422,BWBSwk1,55.411667,-121.487503,1001
118434,BWBSwk1,54.833333,-120.59333,1088
118441,BWBSwk1,54.945,-120.775002,1031
1186J7K,BWBSwk2,57.033333,-122.51667,1133
PNK,BWBSwk2,57.001967,-122.3535,1132
136,BWBSwk2,56.7185,-121.765404,955
151,BWBSwk2,56.3643,-123.365601,1101
136,BWBSwk2,56.7185,-121.765404,955
151,BWBSwk2,56.3643,-123.365601,1101
1025970,CDFmm,49.3,-124.300003,77
1108914,CDFmm,49.016667,-122.783333,3
1010595,CDFmm,48.58,-123.510002,0
1011920,CDFmm,48.5333,-123.366699,18
1012010,CDFmm,48.71,-123.550003,0
1015134,CDFmm,48.65,-123.550003,0
101HF66,CDFmm,48.4333,-123.300003,0
1020590,CDFmm,49.35,-124.166702,0
1044732,CDFmm,49.98,-124.760002,11
1017101,CDFmm,48.7833,-123.050003,17
1016120,CDFmm,48.766667,-123.300003,21
1016169,CDFmm,48.7,-123.416664,4
1016940,CDFmm,48.62167,-123.4189,70
101HFNE,CDFmm,48.45,-123.433334,11
101Q655,CDFmm,48.433333,-123.349998,25
1025977,CDFmm,49.333333,-124.300003,0
102BFHH,CDFmm,49.20891,-123.808899,4
1048140,CDFmm,49.7,-124.51667,93
541,CDFmm,49.698024,-124.518326,97
546,CDFmm,49.497467,-124.674408,5
547,CDFmm,49.1867,-123.833298,29
T31,CDFmm,49.186389,-123.152496,3
101317,CDFmm,48.820556,-123.59111,0
101322,CDFmm,48.754444,-123.749168,93
110008,CDFmm,49.086667,-123.01889,5
1010066,CDFmm,48.866667,-123.283333,36
1010960,CDFmm,48.6,-123.466667,70
1010961,CDFmm,48.566667,-123.449997,71
1010965,CDFmm,48.566667,-123.433334,59
1011467,CDFmm,48.583333,-123.416664,76
10114F6,CDFmm,48.57334,-123.392097,29
1011500,CDFmm,48.93418,-123.7407,83
1011745,CDFmm,48.65,-123.566666,41
1011810,CDFmm,48.416667,-123.48333,80
1011922,CDFmm,48.516667,-123.366669,17
