"STATION","PPT_sp","PPT_sm","PPT_at","PPT_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmax_wt","Tmin_sp","Tmin_sm","Tmin_at","Tmin_wt","Tave_sp","Tave_sm","Tave_at","Tave_wt","MSP","MAP","MAT","MWMT","MCMT","TD","AHM","SHM"
"M116006",NA,NA,NA,NA,10.1666666666667,20.4,NA,-1.26666666666667,-0.666666666666667,8.36666666666667,NA,-8.96666666666667,4.75,14.3833333333333,NA,-5.11666666666667,NA,NA,NA,15.65,-6.3,21.95,NA,NA
"1165791",84,161,108,97,11.9666666666667,22.3,10.7333333333333,-0.733333333333333,-1.93333333333333,6.56666666666667,-1.73333333333333,-11.2333333333333,5.01666666666667,14.4333333333333,4.5,-5.98333333333333,240,450,4.49166666666667,15.45,-7.4,22.85,32.2037037037037,64.375
"1165793",103,171,131,127,11.9666666666667,22.3666666666667,10.5666666666667,-1.1,-2.83333333333333,5.5,-1.96666666666667,-11.0333333333333,4.56666666666667,13.9333333333333,4.3,-6.06666666666667,260,532,4.18333333333333,15.05,-7.2,22.25,26.6604010025063,57.8846153846154
"109E7R6",82,152,106,93,11.6,22.1666666666667,10.5333333333333,-0.833333333333333,-2.66666666666667,5.66666666666667,-2.2,-11.7333333333333,4.46666666666667,13.9166666666667,4.16666666666667,-6.28333333333333,228,433,4.06666666666667,14.95,-7.6,22.55,32.4865280985373,65.5701754385965
"1095820",98,157,112,100,12.8333333333333,23.1,10.7333333333333,-1.2,-1.23333333333333,7.3,-0.966666666666667,-9.9,5.8,15.2,4.88333333333333,-5.55,250,467,5.08333333333333,16.15,-6.7,22.85,32.2983583154889,64.6
"1095821",86,155,119,115,11.4,22.2,9.93333333333333,-1.23333333333333,-2.6,6.16666666666667,-1.96666666666667,-11.8333333333333,4.4,14.1833333333333,3.98333333333333,-6.53333333333333,239,475,4.00833333333333,15.25,-7.55,22.8,29.4912280701754,63.8075313807531
"92159",NA,NA,NA,NA,9.33333333333333,23.6333333333333,10.8666666666667,-1.33333333333333,-2.13333333333333,8.86666666666667,-0.5,-10.0666666666667,3.6,16.25,5.18333333333333,-5.7,NA,NA,4.83333333333333,18.35,-6.55,24.9,NA,NA
"38324",NA,NA,NA,NA,14.1,NA,10.6666666666667,-1.03333333333333,NA,NA,1.96666666666667,-7.63333333333333,NA,NA,6.31666666666667,-4.33333333333333,NA,NA,NA,NA,-5.55,NA,NA,NA
"1167191",75,132,75,66,10.4666666666667,21.2666666666667,9.7,-1.63333333333333,-3.43333333333333,4.63333333333333,-3.46666666666667,-12.1666666666667,3.51666666666667,12.95,3.11666666666667,-6.9,207,348,3.17083333333333,14.15,-8.3,22.45,37.8472222222222,68.3574879227053
"391",NA,130,NA,NA,NA,20.7,9.03333333333333,NA,NA,5.9,-1.56666666666667,NA,NA,13.3,3.73333333333333,NA,240,NA,NA,14.6,NA,NA,NA,60.8333333333333
"149715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149677",NA,NA,NA,NA,NA,21.5333333333333,15.5333333333333,9.2,NA,12.9333333333333,9.33333333333333,4.1,NA,17.2333333333333,12.4333333333333,6.65,NA,NA,NA,18.15,6.1,12.05,NA,NA
"T34",254,143,391,403,13.9333333333333,21.8333333333333,14.3666666666667,6.86666666666667,6.1,12.4333333333333,6.96666666666667,1.56666666666667,10.0166666666667,17.1333333333333,10.6666666666667,4.21666666666667,276,1191,10.5083333333333,18.15,3.4,14.75,17.2194234536804,65.7608695652174
"E246240",NA,NA,NA,NA,13.7666666666667,21.7666666666667,14.3333333333333,6.73333333333333,6.1,12.3333333333333,7.1,1.56666666666667,9.93333333333333,17.05,10.7166666666667,4.15,NA,NA,10.4625,18,3.4,14.6,NA,NA
"1100030",368,168,474,539,14.7666666666667,23.0666666666667,15.1,7.13333333333333,5.1,11.5,5.9,0.433333333333333,9.93333333333333,17.2833333333333,10.5,3.78333333333333,344,1549,10.375,18.25,2.9,15.35,13.1536475145255,53.0523255813954
"E238212",NA,NA,NA,NA,14.1333333333333,22.3666666666667,14.6,6.83333333333333,5.96666666666667,12.7,7,1.2,10.05,17.5333333333333,10.8,4.01666666666667,NA,NA,10.6,18.45,3.2,15.25,NA,NA
"32645",477,134,620,897,14.0333333333333,19.6666666666667,15.8,9.03333333333333,5.5,11.5,7.1,2.5,9.76666666666667,15.5833333333333,11.45,5.76666666666667,293,2128,10.6416666666667,16.4,5.15,11.25,9.7000313283208,55.9726962457338
"32647",NA,239,NA,NA,NA,NA,NA,6.6,NA,NA,NA,1.1,NA,NA,NA,3.85,NA,NA,NA,NA,3.1,NA,NA,NA
"12852",68,50,56,57,14.6,28.5666666666667,16.0666666666667,1.13333333333333,-0.7,8.26666666666667,-1.56666666666667,-10.4333333333333,6.95,18.4166666666667,7.25,-4.65,96,231,6.99166666666667,19.95,-5.5,25.45,73.5569985569986,207.8125
"1150060",138,181,135,119,13.3,24.8333333333333,11.8333333333333,-0.0666666666666667,1.16666666666667,9.73333333333333,0.966666666666667,-8.1,7.23333333333333,17.2833333333333,6.4,-4.08333333333333,295,573,6.70833333333333,18.85,-5.5,24.35,29.1593949970913,63.8983050847458
"91270",NA,NA,NA,NA,NA,NA,NA,4.66666666666667,2.06666666666667,8.46666666666667,5.1,-0.166666666666667,NA,NA,NA,2.25,NA,NA,NA,NA,1.7,NA,NA,NA
"3070043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3060045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060080",675,404,1148,1020,11.2333333333333,17.3,12.1,7.03333333333333,4.93333333333333,11.1333333333333,6.93333333333333,2.1,8.08333333333333,14.2166666666667,9.51666666666667,4.56666666666667,794,3247,9.09583333333333,15.1,4.3,10.8,5.88106970536906,19.0176322418136
"322",NA,94,NA,NA,13.2666666666667,24.7666666666667,11.4333333333333,-0.366666666666667,2.43333333333333,11.9,2.53333333333333,-6,7.85,18.3333333333333,6.98333333333333,-3.18333333333333,142,NA,7.49583333333333,19.65,-4.6,24.25,NA,138.380281690141
"1100120",388,217,562,606,14.9333333333333,23.1333333333333,15.0333333333333,6.83333333333333,5.8,12.3,6.8,0.866666666666667,10.3666666666667,17.7166666666667,10.9166666666667,3.85,411,1773,10.7125,18.65,3.1,15.55,11.6821771009588,45.3771289537713
"1100119",395,218,567,576,14.9333333333333,23.2,14.9333333333333,6.73333333333333,5.76666666666667,12.1666666666667,6.9,1,10.35,17.6833333333333,10.9166666666667,3.86666666666667,416,1756,10.7041666666667,18.65,3,15.65,11.7905277145027,44.8317307692308
"1100130",439,214,625,826,15.6,24.1,15.6333333333333,7.4,5.66666666666667,12.2333333333333,6.73333333333333,0.9,10.6333333333333,18.1666666666667,11.1833333333333,4.15,393,2104,11.0333333333333,19.15,3.4,15.75,9.99683143219265,48.7277353689567
"118300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
