"BGC","STATION","Latitude","Longitude","Elevation","Name","AHM","MAP","MAT","MCMT","MSP","MWMT","PPT_at","PPT_sm","PPT_sp","PPT_wt","SHM","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","Tmax_at","Tmax_sm","Tmax_sp","Tmax_wt","Tmin_at","Tmin_sm","Tmin_sp","Tmin_wt"
"BAFAun","4A09P",57.5333,-126.782997,2183,"Pulpit Lake",2.03284166314306,-286.5532,1.38009333333333,-0.52936,-0.999199999999973,3.56744,-115.8316,16.0564,-51.2744,-138.9132,5.1887156756757,1.12228,3.4446533333333,2.676,-1.67076,4.09636,1.17910666666667,4.8202266666667,3.9184,-1.62414666666667,1.06501333333333,2.07052,1.43492,-1.7155733333333
"BGxh1","1125852",49.02833,-119.441101,283,"OSOYOOS CS",-12.5667889918256,67.1604,0.396139999999999,0.96012,74.1676,0.360520000000001,6.7704,47.6136,17.5748,-3.4552,-94.264376666667,0.206160000000001,0.593119999999999,0.453720000000001,0.39992,-0.599360000000001,1.0803066666667,1.4676666666667,1.3049066666667,0.86930666666667,-0.66970666666667,-0.281506666666699,-0.39878666666667,-0.0700666666666701
"BGxh1","1125766",49.17917,-119.544701,296,"OLIVER STP",-5.96786609406949,26.1604,0.266973333333299,1.26012,20.1676,-0.23948,9.7704,12.6136,8.5748,-3.4552,-52.246713623188,-0.0105066666666698,0.193119999999997,0.40372,0.54992,-1.49936,0.346973333333299,0.3676666666667,0.704906666666698,0.66930666666667,-0.36970666666667,0.0184933333332999,0.10121333333333,0.42993333333333
"BGxh1","1124110",49.2,-119.816666,408,"KEREMEOS",3.1437293567252,-14.8396,0.312806666666699,0.71012,10.1676,-0.23948,-7.2296,15.6136,-14.4252,-7.4552,-39.707085,0.2228266666667,0.14312,0.6370533333333,0.316586666666666,-0.949359999999999,-0.1196933333333,-0.398999999999997,0.204906666666698,0.36930666666667,0.56362666666667,0.68516,1.06788,0.26326666666667
"BGxh1","1125760",49.16583,-119.564201,310,"OLIVER",-6.3811244444444,24.1604,0.00863999999999976,1.21012,31.1676,-0.48948,4.7704,23.6136,5.5748,-8.4552,-65.774094228188,-0.44384,-0.173546666666702,0.3203866666667,0.39992,-1.69936,0.0469733333333,0.267666666666702,0.738240000000001,0.43597333333333,-0.93637333333333,-0.614839999999999,-0.0987866666666699,0.36326666666667
"BGxh1","1124112",49.216667,-119.816666,440,"KEREMEOS 2",-5.5672532484076,14.1604,-0.353860000000001,0.16012,16.1676,-1.18948,4.7704,13.6136,-4.4252,1.5448,-54.545004776119,-0.41050666666667,-0.6902133333333,0.0370533333333007,-0.283413333333333,-1.34936,-0.0530266666667014,-0.6323333333333,0.338239999999999,0.16930666666667,-0.769706666666671,-0.7481733333333,-0.26545333333333,-0.73673333333333
"BGxh1","1125865",49.03194,-119.442802,283,"OSOYOOS WEST",-4.1798665828092,18.1604,0.337806666666699,1.26012,13.1676,-0.389479999999999,3.7704,9.61360000000001,4.5748,1.5448,-44.81502870229,0.206160000000001,-0.0235466666667001,0.670386666666699,0.566586666666667,-1.64936,0.413639999999999,0.134333333333302,1.1049066666667,0.70264,-0.00304000000000038,-0.181506666666699,0.23454666666667,0.42993333333333
"BGxh1","1125850",49.033333,-119.433334,314,"OSOYOOS",-13.2880313513513,70.1604,0.296139999999999,1.16012,34.1676,-0.23948,13.7704,22.6136,15.5748,19.5448,-67.030275789474,0.15616,0.14312,0.537053333333301,0.416586666666667,-1.39936,-0.186360000000001,-0.298999999999999,0.4715733333333,0.30264,0.49696,0.58516,0.60121333333333,0.52993333333333
"BGxh2","T36",50.716667,-121.333336,502,"Ashcroft Ran",24.4220588359788,-92.9876,-1.1523,-0.179799999999999,-18.2912,-0.746839999999999,-28.8492,-10.7892,-15.8316,-37.544,8.80627853211001,-1.19113333333333,-0.944666666666699,-1.26954666666667,-1.12713333333333,-0.56672,-1.8619866666667,-1.9481733333333,-2.2523733333333,-1.74144,-0.521,0.0573200000000007,-0.28692,-0.51314666666667
"BGxh2","1160510",50.716667,-121.283333,289,"ASHCROFT",11.4817492913386,-27.9876,1.4977,1.3702,9.7088,2.05316,-10.8492,13.2108,-7.8316,-22.544,-8.25660233576599,1.45886666666667,2.2053333333333,1.84712,0.5562,0.68328,2.0380133333333,2.3184933333333,2.48096,0.79189333333333,0.879,2.0906533333333,1.21308,0.32018666666667
