"St_ID","Name","AHM","MAP","MAT","MCMT","MSP","MWMT","PPT_at","PPT_sm","PPT_sp","PPT_wt","SHM","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","Tmax_at","Tmax_sm","Tmax_sp","Tmax_wt","Tmin_at","Tmin_sm","Tmin_sp","Tmin_wt"
"08GA071","ELAHO RIVER",-4.23282631765122,1094,-0.4,0.25,316,-0.649999999999999,343,223,227,302,-23.0908296943231,-0.66666666666667,-0.533333333333299,-0.166666666666671,-0.233333333333333,-0.900000000000002,-1.7333333333333,-0.866666666666699,-0.6666666666667,-0.93333333333333,0.4,-0.200000000000001,0.43333333333333,0.46666666666667
"08GF005","KIPPAN CREEK",NA,NA,0.208333333333329,0.1,NA,1.4,NA,NA,NA,NA,NA,0.0333333333333297,1.0666666666667,0.233333333333331,-0.4,1.2,0.133333333333301,1.5333333333333,1.0666666666667,-0.13333333333333,-0.06666666666667,0.6,-0.6,-0.666666666666667
"08GF006","MCALLISTER C",NA,NA,0.0708333333333293,0.6,NA,-0.0500000000000007,NA,NA,NA,NA,NA,0.06666666666667,-0.116666666666699,0.21666666666667,0.21666666666667,-0.65,-0.5,-0.800000000000001,0,-0.0333333333333297,0.63333333333333,0.5666666666667,0.333333333333329,0.46666666666667
"08HA069","RENFREW CREE",0.11789543599962,-120,-0.320833333333331,0.0499999999999998,249,-0.449999999999999,-55,184,82,-332,-11.4877551020408,-0.33333333333333,-0.5,-0.61666666666667,-0.0333333333333301,-0.5,-0.800000000000001,-1.0333333333333,-1.0666666666667,-0.466666666666669,0.23333333333333,0.133333333333329,-0.06666666666667,0.4
"08HA072","COTTONWOOD C",-1.27453662404599,659,0.14583333333333,0.55,200,-0.199999999999999,72,133,150,304,-13.0870967741935,-0.133333333333329,-0.116666666666699,-0.0333333333333297,0.56666666666667,-0.75,-0.0666666666667002,0.066666666666702,0.0333333333333012,0.43333333333333,-0.0999999999999996,-0.199999999999999,0,0.7
"08HA700","WALBRAN CREE",0.49249482401656,-210,0.49583333333333,0.7,83,0.800000000000001,-109,58,-53,-106,-1.9954612005857,0.25,0.6,0.46666666666667,0.86666666666667,0.0999999999999996,1.0333333333333,1.3666666666667,0.9,1.33333333333333,-0.53333333333333,-0.16666666666667,0.0333333333333301,0.3
"08HF012","PUGH CREEK N",0.24461509290861,-114,0.0916666666666703,0,-19,0.25,-3,-4,-74,-34,0.742359249329802,0.200000000000001,0.133333333333301,0.06666666666667,0.06666666666667,0.15,0.5,0.0666666666666984,0.0666666666667002,0.33333333333333,-0.0999999999999996,0.0999999999999996,0.06666666666667,-0.0999999999999999
"08HF013","SIMPSON CREE",-0.8584310361262,466,-0.170833333333329,-0.45,197,-0.15,116,134,69,147,-6.4087173100872,-0.31666666666667,-0.1666666666667,-0.0499999999999989,-0.25,0.300000000000001,-0.0666666666667002,0.266666666666701,0.233333333333301,-0.100000000000001,-0.56666666666667,-0.6,-0.43333333333333,-0.5
"101006","CHARTER",NA,NA,-0.704166666666671,-1.1,NA,-0.5,NA,NA,NA,NA,NA,-0.76666666666667,-0.383333333333301,-0.583333333333329,-1.08333333333333,0.6,-0.633333333333301,0.466666666666701,0.0333333333333012,-0.83333333333333,-1,-1.23333333333333,-1.2,-1.23333333333333
"101008","SAHTLAM",NA,NA,-0.0833333333333304,-0.55,-3,0.0500000000000007,NA,-1,NA,NA,1.53888888888891,-0.18333333333333,0.233333333333302,-0.0833333333333304,-0.5,0.600000000000001,-0.6666666666667,0.300000000000001,-0.0999999999999996,-1.13333333333333,0.3,0.1666666666667,0.0333333333333301,0.233333333333333
"101009","SHAWN LK CFS",NA,NA,0.46666666666667,0.05,-2,0.699999999999999,NA,0,NA,NA,4.35532994923859,0.58333333333333,0.466666666666697,0.449999999999999,0.16666666666667,0.65,0.6,0.0999999999999979,0.233333333333301,0.100000000000001,0.666666666666671,0.9333333333333,0.66666666666667,0.133333333333333
"101023","SHAWNIGAN LK",NA,NA,-0.179166666666671,-1.05,NA,0.299999999999997,NA,NA,NA,NA,NA,-0.31666666666667,0.399999999999999,-0.0999999999999996,-0.7,1.35,-0.4333333333333,1.0333333333333,0,-1.1,-0.0999999999999996,-0.233333333333301,-0.2,-0.2
"101024","NITINAT FP",NA,NA,NA,NA,NA,NA,NA,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666701,NA,NA,NA,NA,NA
"1010720","BEAR CREEK",-0.66212808875441,337,-0.15833333333333,0.1,67,-0.350000000000001,87,26,105,119,-5.8891440501044,-0.016666666666671,-0.266666666666699,-0.18333333333333,-0.16666666666667,-0.450000000000001,-0.399999999999999,-0.766666666666698,-0.5,-0.56666666666667,0.366666666666671,0.133333333333331,0.13333333333333,0.333333333333333
"1010780","BECHER BAY",NA,NA,-0.10416666666667,0.25,NA,0.0999999999999979,NA,NA,NA,NA,NA,-0.15,-0.133333333333301,-0.300000000000001,0.16666666666667,-0.15,-0.0999999999999996,0,-0.366666666666701,0.16666666666667,-0.3,-0.366666666666701,-0.233333333333331,0.16666666666667
"1011500","CHEMAINUS",-2.0246959543311,203,0.783333333333299,0.85,21,0.75,58,14,35,95,-6.8080808080808,0.716666666666701,0.766666666666701,0.766666666666671,0.88333333333333,-0.0999999999999996,0.4,0.366666666666699,0.466666666666701,0.56666666666667,1.13333333333333,1.2666666666667,1.16666666666667,1.2
"1011920","CORDOVA BAY",-1.9234649122807,60,-0.275,-0.149999999999999,7,-0.400000000000002,16,9,2,33,-9.11726618704999,-0.35,-0.366666666666699,-0.350000000000001,-0.23333333333333,-0.15,-0.5,-0.133333333333301,-0.266666666666699,-0.233333333333331,-0.0999999999999996,-0.6,-0.43333333333333,-0.23333333333333
"1011922","CORDOVA BAY",-0.792295957284498,24,-0.0416666666666998,0.2,7,-0.199999999999999,12,11,6,-4,-7.78695652173899,-0.149999999999999,-0.183333333333302,-0.15,0.11666666666667,-0.4,-0.733333333333301,-0.6666666666667,-0.533333333333299,-0.233333333333331,0.533333333333331,0.300000000000001,0.233333333333331,0.46666666666667
"1012010","COWICHAN BAY",-0.0423343224530015,-24,-0.525,-0.75,7,-0.300000000000001,-28,11,12,-18,-6.792682926829,-0.199999999999999,-0.516666666666701,-0.6,-0.583333333333329,0.550000000000001,-0.4,-0.866666666666699,-0.766666666666699,-0.899999999999999,0,-0.0666666666667002,-0.43333333333333,-0.26666666666667
"1012040","COWICHAN LAK",-1.35330047789725,309,0.24583333333333,0.5,41,0.150000000000002,74,20,75,139,-8.93333333333329,0.35,0.0333333333332995,0.15,0.35,-0.35,0.4,-0.1666666666667,0.0999999999999996,0.666666666666671,0.399999999999999,0.233333333333301,0.1,0.133333333333333
"1012055","LAKE COWICHA",-0.0250698209298506,49,0.33333333333333,0.35,10,0.200000000000003,-4,2,29,22,-1.6818181818182,0.4,0.1666666666667,0.4,0.46666666666667,-0.15,0.800000000000001,0.366666666666699,0.633333333333301,0.96666666666667,0.100000000000001,-0.0333333333332995,0.16666666666667,-0.033333333333333
"1012475","DISCOVERY IS",NA,NA,0.824999999999999,2,NA,-0.599999999999998,NA,NA,NA,NA,NA,1.2,-0.433333333333302,0.816666666666698,1.71666666666667,-2.5,-0.4333333333333,-2.1666666666667,-0.633333333333301,0.633333333333331,2.83333333333333,1.2,2.36666666666667,2.8
"1012570","DUNCAN FORES",1.1053783614759,-104,-0.66666666666667,-0.8,0,-0.450000000000003,-32,-1,-17,-55,-2.96213017751501,-0.71666666666667,-0.5,-0.483333333333329,-0.76666666666667,0.35,0.366666666666701,0,-0.0333333333333012,-0.13333333333333,-1.8,-1.1,-0.93333333333333,-1.4
"1012573","DUNCAN KELVI",-0.818034374243501,73,0.0416666666666696,0,4,0.0999999999999979,11,2,4,55,-2.0432432432433,0.1833333333333,0.033333333333303,-0.0833333333333304,0.0333333333333301,0.0999999999999996,1.1666666666667,0.866666666666699,0.733333333333301,0.56666666666667,-0.800000000000001,-0.800000000000001,-0.9,-0.6
