St_ID,BGC,Latitude,Longitude,Elevation,Name,AHM,MAP,MAT,MCMT,MSP,MWMT,PPT_at,PPT_sm,PPT_sp,PPT_wt,SHM,Tave_at,Tave_sm,Tave_sp,Tave_wt,TD,Tmax_at,Tmax_sm,Tmax_sp,Tmax_wt,Tmin_at,Tmin_sm,Tmin_sp,Tmin_wt
08GA071,CWHds1,50.11944,-123.436096,220,ELAHO RIVER,-4.232826318,1094,-0.4,0.25,316,-0.65,343,223,227,302,-23.09082969,-0.666666667,-0.533333333,-0.166666667,-0.233333333,-0.9,-1.733333333,-0.866666667,-0.666666667,-0.933333333,0.4,-0.2,0.433333333,0.466666667
08GF005,CWHvm1,51.06831,-126.358398,190,KIPPAN CREEK,NA,NA,0.208333333,0.1,NA,1.4,NA,NA,NA,NA,NA,0.033333333,1.066666667,0.233333333,-0.4,1.2,0.133333333,1.533333333,1.066666667,-0.133333333,-0.066666667,0.6,-0.6,-0.666666667
08GF006,CWHvm1,50.79689,-126.009598,12,MCALLISTER C,NA,NA,0.070833333,0.6,NA,-0.05,NA,NA,NA,NA,NA,0.066666667,-0.116666667,0.216666667,0.216666667,-0.65,-0.5,-0.8,0,-0.033333333,0.633333333,0.566666667,0.333333333,0.466666667
08HA069,CWHvm1,48.63694,-124.291901,310,RENFREW CREE,0.117895436,-120,-0.320833333,0.05,249,-0.45,-55,184,82,-332,-11.4877551,-0.333333333,-0.5,-0.616666667,-0.033333333,-0.5,-0.8,-1.033333333,-1.066666667,-0.466666667,0.233333333,0.133333333,-0.066666667,0.4
08HA072,CWHxm2,48.93389,-124.25,432,COTTONWOOD C,-1.274536624,659,0.145833333,0.55,200,-0.2,72,133,150,304,-13.08709677,-0.133333333,-0.116666667,-0.033333333,0.566666667,-0.75,-0.066666667,0.066666667,0.033333333,0.433333333,-0.1,-0.2,0,0.7
08HA700,CWHvm1,48.64,-124.599998,299,WALBRAN CREE,0.492494824,-210,0.495833333,0.7,83,0.8,-109,58,-53,-106,-1.995461201,0.25,0.6,0.466666667,0.866666667,0.1,1.033333333,1.366666667,0.9,1.333333333,-0.533333333,-0.166666667,0.033333333,0.3
08HF012,CWHvh1,50.735,-127.883102,184,PUGH CREEK N,0.244615093,-114,0.091666667,0,-19,0.25,-3,-4,-74,-34,0.742359249,0.2,0.133333333,0.066666667,0.066666667,0.15,0.5,0.066666667,0.066666667,0.333333333,-0.1,0.1,0.066666667,-0.1
08HF013,CWHvm1,50.51194,-127.843102,12,SIMPSON CREE,-0.858431036,466,-0.170833333,-0.45,197,-0.15,116,134,69,147,-6.40871731,-0.316666667,-0.166666667,-0.05,-0.25,0.3,-0.066666667,0.266666667,0.233333333,-0.1,-0.566666667,-0.6,-0.433333333,-0.5
101006,CWHxm1,48.809722,-123.923615,397,CHARTER,NA,NA,-0.704166667,-1.1,NA,-0.5,NA,NA,NA,NA,NA,-0.766666667,-0.383333333,-0.583333333,-1.083333333,0.6,-0.633333333,0.466666667,0.033333333,-0.833333333,-1,-1.233333333,-1.2,-1.233333333
101008,CWHxm1,48.784722,-123.893333,211,SAHTLAM,NA,NA,-0.083333333,-0.55,-3,0.05,NA,-1,NA,NA,1.538888889,-0.183333333,0.233333333,-0.083333333,-0.5,0.6,-0.666666667,0.3,-0.1,-1.133333333,0.3,0.166666667,0.033333333,0.233333333
